timestamp,altitude(m),battery(%),lat,lon,mode
1747402716.1489632,-0.005,100,-35.3632622,149.1652374,STABILIZE
1747402716.6495671,0.0,100,-35.3632622,149.1652374,STABILIZE
1747402717.1504962,0.008,100,-35.3632622,149.1652374,STABILIZE
1747402717.6512144,0.008,100,-35.3632622,149.1652374,GUIDED
1747402718.1520455,0.011,100,-35.3632622,149.1652374,GUIDED
1747402718.655291,0.013,100,-35.3632621,149.1652374,GUIDED
1747402719.15562,0.014,100,-35.3632621,149.1652374,GUIDED
1747402719.6574037,0.015,100,-35.3632621,149.1652374,GUIDED
1747402720.158675,0.017,100,-35.3632621,149.1652374,GUIDED
1747402720.6594915,0.018,100,-35.3632621,149.1652374,GUIDED
1747402721.160415,0.018,100,-35.3632621,149.1652374,GUIDED
1747402721.661172,0.019,100,-35.3632621,149.1652374,GUIDED
1747402722.1620183,0.02,100,-35.3632621,149.1652374,GUIDED
1747402722.6635447,0.021,100,-35.3632621,149.1652374,GUIDED
1747402723.1645706,0.021,100,-35.3632621,149.1652374,GUIDED
1747402723.6671185,0.022,100,-35.3632621,149.1652374,GUIDED
1747402724.1678398,0.078,100,-35.3632621,149.1652374,GUIDED
1747402724.6696012,0.356,100,-35.3632621,149.1652374,GUIDED
1747402725.1704097,0.895,100,-35.3632621,149.1652374,GUIDED
1747402725.6711686,1.264,100,-35.3632621,149.1652374,GUIDED
1747402726.1718683,1.699,100,-35.3632621,149.1652374,GUIDED
1747402726.6724577,2.759,100,-35.3632621,149.1652374,GUIDED
1747402727.1730852,4.008,100,-35.363262,149.1652373,GUIDED
1747402727.6733449,4.64,100,-35.363262,149.1652373,GUIDED
1747402728.1742177,5.811,100,-35.363262,149.1652373,GUIDED
1747402728.67493,6.346,100,-35.363262,149.1652372,GUIDED
1747402729.175374,6.837,100,-35.363262,149.1652372,GUIDED
1747402729.6763067,7.293,100,-35.363262,149.1652372,GUIDED
1747402730.1772316,7.71,100,-35.363262,149.1652372,GUIDED
1747402730.6782606,8.093,100,-35.363262,149.1652372,GUIDED
1747402731.1795297,8.759,100,-35.363262,149.1652372,GUIDED
1747402731.6802657,9.042,100,-35.363262,149.1652372,GUIDED
1747402732.1808963,9.293,100,-35.363262,149.1652372,GUIDED
1747402732.6813734,9.509,100,-35.363262,149.1652372,GUIDED
1747402733.1820965,9.689,100,-35.363262,149.1652372,GUIDED
1747402733.6829162,9.833,100,-35.363262,149.1652372,AUTO
1747402734.1837573,9.956,100,-35.363262,149.1652372,AUTO
1747402734.684299,10.058,100,-35.363262,149.1652372,AUTO
1747402735.1894813,10.141,100,-35.3632617,149.1652372,AUTO
1747402735.690078,10.269,100,-35.3632601,149.1652371,AUTO
1747402736.1908286,10.326,100,-35.3632585,149.1652368,AUTO
1747402736.6912198,10.456,100,-35.3632527,149.1652358,AUTO
1747402737.1920266,10.636,100,-35.3632431,149.1652341,AUTO
1747402737.6926978,10.893,100,-35.3632287,149.1652315,AUTO
1747402738.1934283,11.249,100,-35.3632088,149.1652281,AUTO
1747402738.69429,11.705,100,-35.3631837,149.1652238,AUTO
1747402739.1947289,12.257,100,-35.3631536,149.1652185,AUTO
1747402739.69553,12.903,100,-35.3631191,149.1652125,AUTO
1747402740.1957695,13.606,100,-35.3630818,149.165206,AUTO
1747402740.6965663,14.341,100,-35.3630426,149.1651993,AUTO
1747402741.197159,15.093,100,-35.3630023,149.1651924,AUTO
1747402741.6973195,15.835,100,-35.3629619,149.1651855,AUTO
1747402742.1980736,16.56,100,-35.362922,149.1651788,AUTO
1747402742.6988027,17.262,100,-35.3628836,149.1651723,AUTO
1747402743.199536,17.914,100,-35.3628479,149.1651663,AUTO
1747402743.7001119,18.494,100,-35.3628157,149.1651609,AUTO
1747402744.2011123,18.977,100,-35.3627885,149.1651563,AUTO
1747402744.7016582,19.373,100,-35.3627673,149.165152,AUTO
